name,kegg,synonyms,inchikey,smiles,chebis,pubchems,rdkit_img,kegg_img
(R)-acetoin(aq),kegg:C00810,[],,,chebi:15686,pubchem:4068,images/rdkit/(R)-acetoin(aq).gif,https://rest.kegg.jp/get/:/image
glycerol(aq),kegg:C00116,[],,,chebi:17754,pubchem:3416,images/rdkit/glycerol(aq).gif,https://rest.kegg.jp/get/:/image
dihydroxyacetone(aq),kegg:C00184,[],,,chebi:16016,pubchem:3484,images/rdkit/dihydroxyacetone(aq).gif,https://rest.kegg.jp/get/:/image
sn-glycerol 3-phosphate(aq),kegg:C00093,"['sn-glycerol 3-phosphate(aq)', 'sn-glycerol 3-phosphate']",,,chebi:15978,pubchem:3393,images/rdkit/sn-glycerol 3-phosphate(aq).gif,https://rest.kegg.jp/get/:/image
dihydroxyacetone phosphate(aq),kegg:C00111,"['dihydroxyacetone phosphate(aq)', 'glycerone phosphate(aq)']",,,chebi:16108,pubchem:3411,images/rdkit/dihydroxyacetone phosphate(aq).gif,https://rest.kegg.jp/get/:/image
sn-glycerol 3-phosphate,kegg:C00093,"['sn-glycerol 3-phosphate(aq)', 'sn-glycerol 3-phosphate']",,,chebi:15978,pubchem:3393,images/rdkit/sn-glycerol 3-phosphate.gif,https://rest.kegg.jp/get/:/image
allitol(aq),,[],,,,,images/rdkit/allitol(aq).gif,
D-psicose(aq),kegg:C06468,[],,,chebi:187912,pubchem:8700,images/rdkit/D-psicose(aq).gif,https://rest.kegg.jp/get/:/image
D-glycero-D-glucoheptitol(aq),,[],,,,,images/rdkit/D-glycero-D-glucoheptitol(aq).gif,
D-sedoheptulose(aq),,[],,,,,images/rdkit/D-sedoheptulose(aq).gif,
L-iditol(aq),kegg:C01507,[],,,chebi:18202,pubchem:4675,images/rdkit/L-iditol(aq).gif,https://rest.kegg.jp/get/:/image
L-sorbose(aq),kegg:C00247,[],,,chebi:48649,pubchem:3546,images/rdkit/L-sorbose(aq).gif,https://rest.kegg.jp/get/:/image
ribitol(aq),kegg:C00474,[],,,chebi:15963,pubchem:3757,images/rdkit/ribitol(aq).gif,https://rest.kegg.jp/get/:/image
D-ribulose(aq),kegg:C00309,[],,,chebi:17173,pubchem:3603,images/rdkit/D-ribulose(aq).gif,https://rest.kegg.jp/get/:/image
D-sorbitol(aq),kegg:C00794,[],,,chebi:17924,pubchem:4052,images/rdkit/D-sorbitol(aq).gif,https://rest.kegg.jp/get/:/image
