name,kegg,synonyms
6-phospho-D-gluconate(aq),kegg:C00345,[]
D-ribulose 5-phosphate(aq),kegg:C00199,"['D-ribulose 5-phosphate(aq)', 'D-Ribulose 5-phosphate']"
-D-glucose(aq),kegg:C00031,"['-D-glucose(aq)', 'D-glucose(aq)']"
"D-glucono-1,5-lactone(aq)",kegg:C00198,[]
D-galactose(aq),kegg:C00124,[]
"D-galactono-1,4-lactone(aq)",kegg:C03383,[]
D-glucose 6-phosphate(aq),kegg:C00092,"['D-glucose 6-phosphate(aq)', 'D-glucose 6-phosphate', '-D-glucose 6-phosphate(aq)']"
"D-glucono-1,5-lactone 6-phosphate(aq)",kegg:C01236,[]
5α-androstane-3α-ol-17-one(aq),nan,[]
"5α-androstane-3,17-dione(aq)",nan,[]
"5α-androstane-3α,17β-diol(aq)",nan,[]
5α-androstane-17β-ol-3-one(aq),nan,[]
TNAD(aq),nan,[]
TNADH(aq),nan,[]
5β-androstane-3α-ol-17-one(aq),nan,[]
"5β-androstane-3,17-dione(aq)",nan,[]
"5α-pregnane-3α,17α,21-triol-20-one(aq)",nan,[]
"5α-pregnane-17α,21-diol-3,20-dione(aq)",nan,[]
"5β-pregnane-3α,17α,21-triol-20-one(aq)",nan,[]
"5β-pregnane-17α,21-diol-3,20-dione(aq)",nan,[]
"5β-pregnane-3α,17α,21-triol-11,20-dione(aq)",nan,[]
"5β-pregnane-17α,21-diol-3,11,20-trione(aq)",nan,[]
"5alpha-androstane-3beta,17alpha-diol(aq)",nan,[]
5alpha-androstane-17alpha-ol-3-one(aq),nan,[]
4-androstene-17-ol-3-one(aq),kegg:C00535,[]
"4-androstene-3,17-dione(aq)",kegg:C00280,[]
"5α-pregnane-3β,17α,21-triol-11,20-dione(aq)",nan,[]
"5α-pregnane-17α,21-diol-3,11,20-trione(aq)",nan,[]
"1,2-propanediol(aq)",kegg:C00583,[]
L-lactaldehyde(aq),kegg:C00424,"['L-lactaldehyde(aq)', '(S)-lactaldehyde(aq)']"
3-hydroxypropanoate(aq),kegg:C01013,[]
3-oxopropanoate(aq),kegg:C00222,"['3-oxopropanoate(aq)', '3-oxopropanoate']"
2-hydroxy-3-oxopropanoate(aq),kegg:C01146,[]
4-hydroxybutanoate(aq),kegg:C00989,[]
4-oxobutanoate(aq),kegg:C00232,[]
estradiol-17(aq),kegg:C00951,[]
estrone(aq),kegg:C00468,[]
D-gluconate(aq),kegg:C00257,[]
5-oxo-D-gluconate(aq),nan,[]
(R)-glyceraldehyde(aq),kegg:C00577,"['(R)-glyceraldehyde(aq)', 'D-glyceraldehyde(aq)']"
3-phospho-D-glycerate(aq),kegg:C00197,"['3-phospho-D-glycerate(aq)', '(R)-3-phosphoglycerate(aq)']"
3-phosphohydroxypyruvate(aq),kegg:C03232,"['3-phosphohydroxypyruvate(aq)', '3-phosphonooxypyruvate(aq)']"
"-(3,5-diiodo-4-hydroxyphenyl)lactate(aq)",kegg:C04367,[]
"-(3,5-diiodo-4-hydroxyphenyl)pyruvate(aq)",kegg:C01244,[]
3-hydroxybenzyl alcohol(aq),kegg:C03351,[]
3-hydroxybenzaldehyde(aq),kegg:C03067,[]
(3R)-3-hydroxybutanoyl-[acyl-carrier protein](aq),kegg:C04618,[]
3-oxobutanoyl-[acyl-carrier protein](aq),nan,[]
L-carnitine(aq),kegg:C00318,[]
3-dehydrocarnitine(aq),kegg:C02636,[]
indole-3-lactate(aq),kegg:C02043,[]
indole-3-pyruvate(aq),kegg:C00331,[]
D-glucose(aq),kegg:C00031,"['-D-glucose(aq)', 'D-glucose(aq)']"
5-dehydro-D-fructose(aq),kegg:C00273,[]
2-deoxy-D-gluconate(aq),kegg:C02782,[]
2-deoxy-3-dehydro-D-gluconate(aq),kegg:C03926,[]
L-threonate(aq),kegg:C01620,[]
3-oxo-L-threonate(aq),kegg:C03064,[]
D-sorbitol 6-phosphate(aq),kegg:C01096,[]
prostaglandin E1(aq),kegg:C04741,[]
15-oxo-prostaglandin E1(aq),kegg:C04654,[]
"4-pregnene-11β,17α,21-triol-3,20-dione(aq)",nan,[]
"4-pregnene-11β,17α-diol-3,20,21-trione( aq)",nan,[]
"7,8-dihydrobiopterin(aq)",kegg:C02953,[]
sepiapterin(aq),kegg:C00835,[]
coniferyl alcohol(aq),kegg:C00590,[]
coniferyl aldehyde(aq),kegg:C02666,[]
(R)-2-hydroxyglutarate(aq),kegg:C01087,[]
2-oxo-D-gluconate(aq),kegg:C06473,[]
lactose(aq),kegg:C00243,[]
cytochrome c(aq),4 kegg:C00125,[]
3-oxolactose(aq),kegg:C05403,[]
reduced cytochrome c(aq),4 kegg:C00126,[]
formate(aq),kegg:C00058,[]
orthophosphate(aq),kegg:C00009,"['orthophosphate(aq)', 'orthophospate(aq)', 'HPO4-2-(aq)', 'phosphate(aq)']"
L-4-aspartyl phosphate(aq),kegg:C03082,"['L-4-aspartyl phosphate(aq)', '4-phospho-L-aspartate(aq)']"
L-aspartate-4-semialdehyde(aq),kegg:C00441,"['L-aspartate 4-semialdehyde(aq)', 'L-aspartate-4-semialdehyde(aq)']"
D-glyceraldehyde 3-phosphate(aq),kegg:C00118,"['D-glyceraldehyde 3-phosphate(aq)', 'D-glyceraldehyde-3-phosphate(aq)']"
(aminomethyl)phosphoate(aq),nan,[]
(3-phospho-D-glyceroyl-animomethyl)phosphate(aq),nan,[]
(chloroethyl)phosphoate(aq),nan,[]
(3-phospho-D-glyceroyl-chloroethyl)phosphate(aq),nan,[]
(chloromethyl)phosphoate(aq),nan,[]
(3-phospho-D-glyceroyl-chloromethyl)phosphate(aq),nan,[]
(ethyl)phosphoate(aq),nan,[]
(3-phospho-D-glyceroyl-ethyl)phosphate(aq),nan,[]
(methoxy)phosphoate(aq),nan,[]
(3-phospho-D-glyceroyl-methoxy)phosphate(aq),nan,[]
(methyl)phosphoate(aq),nan,[]
(3-phospho-D-glyceroyl-methyl)phosphate(aq),nan,[]
3-phospho-D-glyceroyl phosphate(aq),kegg:C00236,[]
phosphonate(aq),nan,[]
(3-phospho-D-glyceroyl)phosphonate(aq),nan,[]
ADP(aq),kegg:C00008,"['ADP(aq)', 'ADP-3-(aq)']"
ATP(aq),kegg:C00002,"['ATP(aq)', 'ATP', 'ATP-4-(aq)']"
oxalyl-CoA(aq),kegg:C00313,[]
succinate(aq),kegg:C00042,[]
O2(aq),kegg:C00007,"['O2(aq)', 'O2']"
fumarate(aq),kegg:C00122,"['fumarate(aq)', 'Fumarate']"
(S)-dihydroorotate(aq),kegg:C00337,[]
orotate(aq),kegg:C00295,[]
L-alanine(aq),kegg:C00041,"['L-alanine(aq)', 'L-alanine']"
ammonia(aq),kegg:C00014,"['ammonia(aq)', 'NH3(aq)']"
L-leucine(aq),kegg:C00123,[]
4-methyl-2-oxopentanoate(aq),kegg:C00233,"['4-methyl-2-oxopentanoate(aq)', '4-methyl-2-oxopentanooate(aq)', '2-oxoisocaproate(aq)']"
glycine(ag),nan,[]
"L-erythro-3,5-diaminohexanoate(aq)",kegg:C01186,[]
(S)-5-amino-3-oxohexanoate(aq),kegg:C03656,[]
"2,4-diaminopentanoate(aq)",kegg:C03943,"['2,4-diaminopentanoate(aq)', 'D-threo-2,4-diaminopentanoate(aq)']"
2-amino-4-oxopentanoate(aq),kegg:C03341,[]
(S)-proline(aq),kegg:C00148,[]
D-1-pyrroline-2-carboxylate(aq),kegg:C03564,[]
D-1-pyrroline-5-carboxylate(aq),kegg:C03912,"['D-1-pyrroline-5-carboxylate(aq)', 'DL-D-1-pyrroline-5-carboxylate(aq)']"
"7,8-dihydrofolate(aq)",kegg:C00415,"['7,8-dihydrofolate(aq)', 'dihydrofolate(aq)']"
folate(aq),kegg:C00504,[]
"5,6,7,8-tetrahydrofolate(aq)",kegg:C00101,"['5,6,7,8-tetrahydrofolate(aq)', 'tetrahydrofolate(aq)', 'THF(aq)', 'Tetrahydrofolate']"
"5,10-methylenetetrahydrofolate(aq)",kegg:C00143,"['5,10-methylenetetrahydrofolate(aq)', '5,10-CH2-THF(aq)']"
"5,10-methenyltetrahydrofolate(aq)",kegg:C00445,[]
N-2-(D-1-carboxyethyl)-L-arginine(aq),kegg:C04137,[]
L-arginine(aq),kegg:C00062,[]
"2,2'-iminodipropanoate(aq)",kegg:C03210,[]
2-methyliminodiacetatc(aq),nan,[]
H20(l),nan,[]
glycine(aq),kegg:C00037,[]
L-pipecolate(aq),kegg:C00408,[]
D-1-piperidine-2-carboxylate(aq),kegg:C04092,[]
reduced glutathione(aq),2 kegg:C00051,"['reduced glutathione(aq)', 'glutathoine(red)(aq)']"
oxidized glutathione(aq),kegg:C00127,"['oxidized glutathione(aq)', 'glutathoine(ox)(aq)']"
reduced thioredoxin(aq),kegg:C00342,[]
oxidized thioredoxin(aq),kegg:C00343,[]
5-methyltetrahydrofolate(aq),kegg:C00440,[]
flavin-adenine dinucleotide(aq),kegg:C00016,[]
reduced flavin-adenine dinucleotide(aq),kegg:C01352,[]
dihydrolipoamide(aq),kegg:C00579,[]
lipoamide(aq),kegg:C00248,[]
dihydro--lipoate(aq),kegg:C02147,[]
-lipoate(aq),kegg:C00725,"['-lipoate(aq)', 'lipoate(aq)']"
CoA-glutathione(aq),kegg:C00920,[]
H2(aq),kegg:C00282,[]
betaine(aq),kegg:C00719,[]
L-homocysteine(aq),kegg:C00155,[]
"N,N-dimethylglycine(aq)",kegg:C01026,[]
L-methionine(aq),kegg:C00073,[]
dimethylacetothetin(aq),kegg:C03392,[]
S-methylthioglycolate(aq),kegg:C03173,[]
dimethylpropiothetin(aq),nan,[]
S-methyltpropiothetin(aq),nan,[]
S-methylmethionine(aq),nan,[]
trimethylsulfonium(aq),kegg:C01008,[]
dimethylsulfide(aq),kegg:C00580,[]
S-adenosyl-L-methionine(aq),kegg:C00019,[]
S-adenosyl-L-homocysteine(aq),kegg:C00021,[]
dUMP(aq),kegg:C00365,[]
dihydrofolate(aq),kegg:C00415,"['7,8-dihydrofolate(aq)', 'dihydrofolate(aq)']"
dTMP(aq),kegg:C00364,[]
L-threonine(aq),kegg:C00188,[]
formaldehyde(aq),kegg:C00067,"['formaldehyde(aq)', 'Formaldehyde']"
L-serine(aq),kegg:C00065,[]
tetrahydrofolate(aq),kegg:C00101,"['5,6,7,8-tetrahydrofolate(aq)', 'tetrahydrofolate(aq)', 'THF(aq)', 'Tetrahydrofolate']"
5-formiminotetrahydrofolate(aq),kegg:C00664,[]
N-formiminoglycine(aq),kegg:C02718,[]
N-formimino-L-glutamate(aq),kegg:C00439,[]
2-hydroxymethylserine(aq),kegg:C03059,[]
